satelite,municipio,estado,numero_dias_sem_chuva,precipitacao,bioma,frp
NPP-375,LINHA NOVA,RIO GRANDE DO SUL,4.0,0.0,Mata Atlântica,2.5
NPP-375,CANDELÁRIA,RIO GRANDE DO SUL,3.0,0.1,Mata Atlântica,4.0
NPP-375,RIO PARDO,RIO GRANDE DO SUL,4.0,0.13,Pampa,5.1
NPP-375,TEUTÔNIA,RIO GRANDE DO SUL,3.0,1.27,Mata Atlântica,5.2
NPP-375,SANTA MARGARIDA DO SUL,RIO GRANDE DO SUL,1.0,0.3,Pampa,5.1
NPP-375,CAMPOS NOVOS,SANTA CATARINA,2.0,7.79,Mata Atlântica,9.8
NPP-375,CÂNDIDO DE ABREU,PARANÁ,0.0,1.08,Mata Atlântica,4.4
NPP-375,ITU,SÃO PAULO,6.0,0.0,Mata Atlântica,3.1
NPP-375,SÃO DESIDÉRIO,BAHIA,5.0,0.0,Cerrado,5.9
NPP-375,GAÚCHA DO NORTE,MATO GROSSO,2.0,0.0,Cerrado,4.4
NPP-375,PARANATINGA,MATO GROSSO,2.0,0.0,Cerrado,72.4
NPP-375,GAÚCHA DO NORTE,MATO GROSSO,10.0,0.0,Amazônia,8.4
NPP-375,JABORANDI,BAHIA,6.0,0.0,Cerrado,11.0
NPP-375,BRASNORTE,MATO GROSSO,7.0,0.2,Cerrado,6.4
NPP-375,MATEIROS,TOCANTINS,4.0,0.02,Cerrado,10.2
NPP-375,PIUM,TOCANTINS,2.0,1.07,Cerrado,10.5
NPP-375,DUERÉ,TOCANTINS,3.0,1.06,Cerrado,7.7
NPP-375,MIRADOR,MARANHÃO,4.0,0.27,Cerrado,10.3
NPP-375,MATEIROS,TOCANTINS,4.0,0.17,Cerrado,99.6
NPP-375,LAGOA DA CONFUSÃO,TOCANTINS,3.0,0.16,Cerrado,13.9
NPP-375,MIRADOR,MARANHÃO,5.0,0.0,Cerrado,8.6
NPP-375,MATEIROS,TOCANTINS,4.0,0.0,Cerrado,7.4
NPP-375,BRASNORTE,MATO GROSSO,2.0,0.78,Amazônia,12.7
NPP-375,NAZARÉ DO PIAUÍ,PIAUÍ,13.0,0.0,Caatinga,36.0
NPP-375,MIRADOR,MARANHÃO,5.0,0.0,Cerrado,7.6
NPP-375,BREU BRANCO,PARÁ,1.0,0.0,Amazônia,3.1
NPP-375,BOA VISTA DO RAMOS,AMAZONAS,0.0,3.07,Amazônia,2.7
NOAA-20,SÉRIO,RIO GRANDE DO SUL,3.0,2.18,Mata Atlântica,3.9
NOAA-20,OTACÍLIO COSTA,SANTA CATARINA,2.0,9.6,Mata Atlântica,2.9
NOAA-20,TABAÍ,RIO GRANDE DO SUL,3.0,0.21,Pampa,3.5
NOAA-20,SÃO JERÔNIMO,RIO GRANDE DO SUL,4.0,0.0,Pampa,2.6
NOAA-20,CAMPO BELO DO SUL,SANTA CATARINA,2.0,5.86,Mata Atlântica,7.6
NOAA-20,CANDELÁRIA,RIO GRANDE DO SUL,2.0,0.1,Mata Atlântica,2.5
NOAA-20,NOVA VENEZA,SANTA CATARINA,2.0,0.69,Mata Atlântica,3.1
NOAA-20,TRIUNFO,RIO GRANDE DO SUL,3.0,0.0,Pampa,5.7
NOAA-20,ALFREDO WAGNER,SANTA CATARINA,2.0,5.0,Mata Atlântica,3.1
NOAA-20,AVARÉ,SÃO PAULO,6.0,2.55,Cerrado,4.5
NOAA-20,CAPETINGA,MINAS GERAIS,8.0,0.0,Cerrado,2.2
NOAA-20,JARDIM,MATO GROSSO DO SUL,0.0,0.0,Cerrado,2.9
NOAA-20,ITAMBARACÁ,PARANÁ,7.0,0.54,Mata Atlântica,10.2
NOAA-20,CONQUISTA D'OESTE,MATO GROSSO,1.0,3.09,Cerrado,10.9
NOAA-20,GUIRATINGA,MATO GROSSO,8.0,0.6,Cerrado,21.3
NOAA-20,CORUMBÁ DE GOIÁS,GOIÁS,8.0,0.0,Cerrado,4.9
NOAA-20,MONTE CARMELO,MINAS GERAIS,8.0,0.0,Cerrado,8.5
NOAA-20,ITIQUIRA,MATO GROSSO,8.0,0.1,Cerrado,8.5
NOAA-20,ROMARIA,MINAS GERAIS,7.0,0.0,Cerrado,12.2
NOAA-20,BURITIZEIRO,MINAS GERAIS,6.0,0.0,Cerrado,6.6
NOAA-20,MONTE CARMELO,MINAS GERAIS,8.0,0.0,Cerrado,4.8
NOAA-20,BALSAS,MARANHÃO,4.0,0.0,Cerrado,15.9
NOAA-20,JUARA,MATO GROSSO,2.0,0.0,Amazônia,2.4
NOAA-20,FORMOSO DO ARAGUAIA,TOCANTINS,4.0,0.0,Cerrado,63.0
NOAA-20,DOIS IRMÃOS DO TOCANTINS,TOCANTINS,4.0,0.18,Cerrado,2.2
NOAA-20,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,3.0,0.0,Amazônia,11.2
NOAA-20,LAGOA DA CONFUSÃO,TOCANTINS,4.0,0.23,Cerrado,9.9
NOAA-20,ÓBIDOS,PARÁ,1.0,2.15,Amazônia,4.9
NOAA-20,BOM JARDIM,MARANHÃO,5.0,0.0,Amazônia,8.8
GOES-19,NAZARÉ DO PIAUÍ,PIAUÍ,11.0,0.0,Caatinga,107.6
NOAA-21,MORRO REUTER,RIO GRANDE DO SUL,4.0,0.1,Mata Atlântica,5.8
NOAA-21,SÃO SEPÉ,RIO GRANDE DO SUL,4.0,0.3,Pampa,2.1
NOAA-21,BRASNORTE,MATO GROSSO,2.0,0.0,Cerrado,30.0
NOAA-21,NOVA MARINGÁ,MATO GROSSO,7.0,0.0,Amazônia,13.7
NOAA-21,BRASNORTE,MATO GROSSO,2.0,0.0,Cerrado,21.0
AQUA_M-T,AGUDO,RIO GRANDE DO SUL,3.0,0.0,Mata Atlântica,7.6
AQUA_M-T,SÃO JERÔNIMO,RIO GRANDE DO SUL,4.0,0.3,Pampa,5.4
AQUA_M-T,CANGUÇU,RIO GRANDE DO SUL,1.0,8.45,Pampa,6.1
AQUA_M-T,ARENÁPOLIS,MATO GROSSO,0.0,0.28,Amazônia,12.1
AQUA_M-T,DOIS IRMÃOS DO BURITI,MATO GROSSO DO SUL,7.0,1.03,Cerrado,60.8
AQUA_M-T,DUERÉ,TOCANTINS,3.0,0.94,Cerrado,52.4
AQUA_M-T,PEIXOTO DE AZEVEDO,MATO GROSSO,4.0,0.0,Amazônia,13.5
GOES-19,QUERÊNCIA,MATO GROSSO,3.0,0.0,Amazônia,74.4
GOES-19,CANARANA,MATO GROSSO,8.0,0.0,Cerrado,69.1
GOES-19,NAZARÉ DO PIAUÍ,PIAUÍ,12.0,0.0,Caatinga,112.1
GOES-19,URUÇUÍ,PIAUÍ,6.0,0.0,Cerrado,96.2
GOES-19,SÃO JOÃO DA PONTE,MINAS GERAIS,6.0,0.0,Cerrado,53.7
GOES-19,COXIM,MATO GROSSO DO SUL,8.0,0.1,Cerrado,74.7
GOES-19,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,3.0,0.0,Amazônia,69.9
GOES-19,SÃO JOÃO DA PONTE,MINAS GERAIS,6.0,0.0,Cerrado,95.1
GOES-19,SÃO JOÃO DA PONTE,MINAS GERAIS,5.0,0.0,Cerrado,61.5
GOES-19,VAZANTE,MINAS GERAIS,8.0,0.0,Cerrado,269.6
TERRA_M-M,ITIQUIRA,MATO GROSSO,9.0,0.0,Cerrado,12.0
GOES-19,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,3.0,3.44,Amazônia,50.0
NOAA-21,BARRA DO CORDA,MARANHÃO,7.0,0.0,Cerrado,1.7
NOAA-21,INGÁ,PARAÍBA,17.0,0.0,Caatinga,0.9
